Replication,Phoenix,Denver,Chicago,Atlanta
503,13.0409,94.3509,166.398,126.211
504,13.0351,99.0409,162.041,125.883
505,12.1696,97.9532,164.556,125.322
506,11.9532,95.6901,166.123,126.234
507,13.2982,96.5088,166.246,123.947
508,12.9298,96.5848,166.719,123.766
509,12.7485,99.3509,166.491,121.409
510,11.9474,94.4386,166.24,127.374
511,13.6374,99.0643,162.497,124.801
512,12.4854,99.4386,163.135,124.942
513,12.7544,99.7076,168.251,119.287
514,12.0351,98.1345,165.409,124.421
515,11.7544,98.0643,167.702,122.48
516,12.3977,96.2807,165.152,126.17
517,12.1637,97.1637,167.848,122.825
518,12.1462,95.7778,166.462,125.614
519,11.8363,97.4561,166.696,124.012
520,12.8713,99.386,163.152,124.591
521,12.5614,97.8187,165.31,124.31
522,11.848,98.3099,166.468,123.374
523,12.6491,98.4327,167.924,120.994
524,10.9591,98.4269,166.327,124.287
525,12.0409,96.538,167.099,124.322
526,12.3684,98.6725,167.205,121.754
527,12.5673,99.4737,165.129,122.83
528,12.7544,97.8012,164.608,124.836
529,11.8713,96.4561,166.959,124.713
530,11.386,97.3275,165.404,125.883
531,12.7953,98.7251,162.912,125.567
532,12.7778,97.6374,166.567,123.018
533,11.7544,97.5205,165.608,125.117
534,11.7544,96.5673,164.561,127.117
535,13.0175,98.3041,167.152,121.526
536,12.1579,96.883,166.234,124.725
537,12.0175,98.345,165.982,123.655
538,11.6374,97.3099,165.421,125.632
539,12.1228,98.1287,166.637,123.111
540,11.6725,99.2924,166.684,122.351
541,12.0468,98.5906,165.807,123.556
542,12.3158,97.0643,165.292,125.327
543,13.0409,95.3801,168.053,123.526
544,13.0585,99.4971,163.035,124.409
545,12.8363,97.2573,165.561,124.345
546,11.7661,98.5965,165.111,124.526
547,12.8655,96.7018,164.602,125.83
548,12.8363,99.5789,163.205,124.38
549,12.3333,100.135,164.322,123.211
550,13,99.4503,165.468,122.082
551,12.0058,97.3216,164.655,126.018
552,12.2573,99.924,165.55,122.269
553,13.193,99.6842,164.439,122.684
554,12.2047,98.2164,165.363,124.216
555,11.2865,98.4444,166.058,124.211
556,12.3275,98.1871,163.538,125.947
557,13.0351,99.3743,163.889,123.702
558,13.5263,99.4269,163.105,123.942
559,13.4386,98.2105,165.737,122.614
560,14.0819,96.7953,166.48,122.643
561,11.5439,100.193,164.497,123.766
562,12.538,100.17,164.287,123.006
563,12.614,97.1637,165.684,124.538
564,12.7602,98.4854,164.585,124.17
565,12.8889,96.6199,164.158,126.333
566,12.0058,97.0058,165.556,125.433
567,12.9649,98.8772,164.48,123.678
568,11.9942,98.1637,164.778,125.064
569,12.0058,98.6608,165.404,123.93
570,12.1696,97,165.784,125.047
571,12.0819,97.1871,165.386,125.345
572,12.1404,98.7895,165.304,123.766
573,12.0643,98.2807,165.842,123.813
574,13.2807,96.6433,165.608,124.468
575,12.5088,97.9532,164.485,125.053
576,12.462,96.883,164.708,125.947
577,12.0643,99.5614,164.234,124.14
578,12.8246,102.38,164.602,120.193
579,12.7427,100.351,164.667,122.24
580,11.2047,99.7778,164.187,124.83
581,12.6667,96.152,166.322,124.86
582,12.1871,99.4678,164.76,123.585
583,11.9181,97.9181,165.018,125.146
584,12.0877,99.5731,166.047,122.292
585,11.6725,95.193,164.205,128.93
586,12.5146,97.5848,165.708,124.193
587,12.3333,96.8012,166.058,124.807
588,11.2047,97.9532,167.871,122.971
589,12.4386,98.924,166.111,122.526
590,12.6667,97.4561,169.17,120.708
591,14.0117,97.1228,164.006,124.86
592,12.1345,97.1579,166.708,124
593,13.3275,95.3626,165.906,125.404
594,11.8713,99.0117,164.982,124.135
595,11.7427,98.9474,166.193,123.117
596,12.2865,98.0819,163.386,126.246
597,12.2515,96.5322,163.994,127.222
598,11.9591,96.7251,165.965,125.351
599,13.1111,98.386,163.421,125.082
600,13.1287,96.0351,163.942,126.895
601,14.2222,96.1287,166.69,122.959
602,11.3158,97.0175,164.386,127.281
603,11.7895,98.7018,166.345,123.164
604,11.8655,98.1404,165.509,124.485
605,13.7018,98.0409,163.69,124.567
606,11.5673,98.7135,165.474,124.246
607,11.2339,95.9532,167.181,125.632
608,11.9181,98.076,165.468,124.538
609,11.3392,97.5965,166.135,124.93
610,12.2807,96.6784,166.895,124.146
611,11.8538,98.0409,168.175,121.93
612,11.6433,99.2164,164.749,124.392
613,12.6667,97.0994,165.848,124.386
614,11.9649,101.012,163.69,123.333
615,12.117,98.3333,165.953,123.596
616,11.5088,99.9357,165.287,123.269
617,12.4503,99.9825,164.912,122.655
618,12.4912,98.152,164.988,124.368
619,11.848,98.7661,166.556,122.83
620,12.269,95.9064,165.713,126.111
621,12.6199,96.4503,165.877,125.053
622,11.2749,98.8538,168.064,121.807
623,12.0585,95.883,164.959,127.099
624,12.6608,96.4795,165.614,125.246
625,12.614,99.1696,164.409,123.807
626,12.1988,96.2339,167.152,124.415
627,12.1345,95.117,167.567,125.181
628,12.2749,97.9942,164.538,125.193
629,13.152,95.8655,166.924,124.058
630,12.3918,97.5965,165.386,124.626
631,11.9766,98.345,167.924,121.754
632,11.7135,100.713,165.316,122.257
633,11.8713,96.7193,166.175,125.234
634,13.5848,97.0058,164.854,124.556
635,12.5029,97.614,165.772,124.111
636,12.7076,96.7135,165.14,125.439
637,12.5439,97.8012,167.591,122.064
638,11.655,96.7544,165.713,125.877
639,12.0468,99.6433,164.842,123.468
640,12.4678,96.7018,168.111,122.719
641,12.462,97.6374,163.842,126.058
642,12.6082,97.3801,166.772,123.24
643,13.2339,97.883,166.012,122.871
644,12.8012,96.2924,166.246,124.661
645,11.8304,96.0526,167.199,124.918
646,12.5088,98.3216,166.082,123.088
647,13.5322,99.3567,165.158,121.953
648,12.4854,97.8129,164.801,124.901
649,12.2749,97.3216,165.848,124.556
650,11.3509,101.427,165.801,121.421
651,11.9532,96.8421,166.035,125.17
652,12.6023,97.4094,164.579,125.409
653,11.3567,98.8655,165.129,124.649
654,11.2865,98.5789,166.83,123.304
655,12.8129,96.5146,165.678,124.994
656,12.7485,98.0468,165.199,124.006
657,12.5205,95.6199,165.702,126.158
658,12.9474,98.076,166,122.977
659,12.4152,100.608,163.573,123.404
660,12.7076,99.0292,163.93,124.333
661,12.2339,98.3041,165.287,124.175
662,13.5789,95.614,165.661,125.146
663,11.7076,101.199,164.614,122.48
664,12.5205,97.2105,165.088,125.181
665,12.5789,96.4912,167.298,123.632
666,12.9649,97.1111,164.474,125.45
667,12.1053,98.4094,166.842,122.643
668,12.2398,97.5848,165.263,124.912
669,13.0643,98.4444,165.298,123.193
670,12.386,98.7485,165.058,123.807
671,12.8363,96.5263,164.444,126.193
672,11.6316,98.7544,166.497,123.117
673,13.4327,95.8421,165.228,125.497
674,12.5789,96.8596,166.567,123.994
675,11.8421,96.5673,167.368,124.222
676,12.5439,97.8187,164.456,125.181
677,13.076,97.5673,167.105,122.251
678,12.2807,98.2339,165.766,123.719
679,13.2924,97.5906,166.24,122.877
680,12.4854,96.5263,165.117,125.871
681,12.386,99.5263,164.099,123.988
682,12.7135,97.152,166.357,123.778
683,13.8363,97.5848,163.918,124.661
