Replication,Phoenix_Avg,Denver_Avg,Chicago_Avg,Atlanta_Avg
200,13.0819,97.0819,165.6550,124.1813
201,12.6433,100.1053,162.9825,124.2690
202,12.8129,97.5731,164.3216,125.2924
203,12.8187,95.8129,166.4444,124.9240
204,11.6140,95.4211,167.6140,125.3509
205,12.2105,98.1930,164.4269,125.1696
206,12.4386,99.4269,165.9298,122.2047
207,11.4503,100.3918,166.6959,121.4620
208,11.4152,99.5146,164.7953,124.2749
209,12.3977,97.1754,166.2222,124.2047
210,12.5439,97.3918,166.4503,123.6140
211,12.4503,100.4912,164.3567,122.7018
212,12.1287,97.7485,166.3392,123.7836
213,12.2456,97.5965,167.0409,123.1170
214,12.7778,98.0760,166.1287,123.0175
215,12.7368,96.9357,165.9123,124.4152
216,11.5029,99.4854,166.2749,122.7368
217,12.0351,97.7135,166.5029,123.7485
218,12.1520,97.0877,166.5789,124.1813
219,12.4971,97.3977,167.4561,122.6491
220,12.7661,97.4327,163.7544,126.0468
221,11.5497,97.6140,164.5556,126.2807
222,11.9942,97.8889,166.1871,123.9298
223,11.8363,97.6199,165.3977,125.1462
224,11.4912,99.2398,166.6959,122.5731
225,11.3158,95.7544,166.2515,126.6784
226,11.8538,96.2281,168.0877,123.8304
227,11.8655,96.4152,165.9006,125.8187
228,12.3216,96.5906,167.4503,123.6374
229,12.2515,98.6140,165.6023,123.5322
230,11.1170,96.8363,167.0526,124.9942
231,13.3684,97.3567,164.5380,124.7368
232,12.6959,98.3392,164.3333,124.6316
233,12.5263,98.5380,164.9883,123.9474
234,12.5322,98.5731,166.1345,122.7602
235,12.2222,98.3509,167.0117,122.4152
236,12.5146,97.5146,165.1287,124.8421
237,12.7602,97.9357,163.4152,125.8889
238,12.1696,96.8480,165.7895,125.1930
239,12.1988,97.8304,167.9006,122.0702
240,12.7836,98.2105,165.0409,123.9649
241,12.1228,98.6842,166.6374,122.5556
242,12.8070,99.0526,165.2749,122.8655
243,11.1930,95.2982,168.3977,125.1111
244,12.0819,97.8947,165.3684,124.6550
245,12.8655,99.4503,163.3333,124.3509
246,13.5146,99.5789,163.1813,123.7251
247,13.2047,98.6140,164.2515,123.9298
248,12.1462,97.7661,165.7485,124.3392
249,11.1813,97.5497,167.2222,124.0468
250,12.1287,99.4152,165.2105,123.2456
251,11.9474,99.4737,164.8655,123.7135
252,12.5029,95.6842,167.7427,124.0702
253,12.2865,100.0409,163.3158,124.3567
254,13.4444,95.8596,162.9708,127.7251
255,13.0117,97.0292,164.6959,125.2632
256,12.6725,97.3567,166.6725,123.2982
257,11.6199,99.8947,165.4561,123.0292
258,12.3626,99.9766,162.1988,125.4620
259,14.3041,96.4912,164.5848,124.6199
260,13.2164,96.9415,164.8830,124.9591
261,11.9942,94.9357,166.7602,126.3099
262,11.2807,98.9532,166.1988,123.5673
