strategy,n_urgent,rule,mean_objective,ci_lo_objective,ci_hi_objective,mean_el_app_wt,ci_lo_el_app,ci_hi_el_app,mean_ur_scan_wt,ci_lo_ur_scan,ci_hi_ur_scan,mean_el_scan_wt,mean_ot
2,14,1,0.4373822917,0.4287533979,0.4460111855,23.67095479,22.22554333,25.11636626,2.668353762,2.656244796,2.680462728,0.09095481751,1.257149511
2,14,2,0.437043507,0.4284091371,0.4456778769,24.31793525,22.86752081,25.76834968,2.630645032,2.618454588,2.642835476,0.216109489,1.208108438
2,14,3,0.4474280892,0.4387629021,0.4560932762,24.21465579,22.76453727,25.66477432,2.729639099,2.717655009,2.741623189,0.1907321418,1.244542989
2,14,4,0.4365410348,0.4278783821,0.4452036875,23.7478223,22.29520549,25.20043912,2.656664547,2.644586023,2.668743071,0.09508610754,1.2433185
2,15,1,0.4537948564,0.4407284096,0.4668613031,29.23244814,27.04254896,31.42234731,2.5181297,2.506422593,2.529836807,0.09067545296,1.112213199
2,15,2,0.4533801634,0.4403043172,0.4664560096,29.90845683,27.71421423,32.10269943,2.478182712,2.466357236,2.490008188,0.2136682267,1.061677081
2,15,3,0.465311403,0.452250815,0.478371991,29.85395509,27.66656193,32.04134825,2.588483604,2.576887356,2.600079852,0.1918305658,1.098313027
2,15,4,0.4529728156,0.4398645264,0.4660811048,29.3236566,27.12519858,31.52211461,2.505845166,2.494173569,2.517516762,0.09468258879,1.097748122
2,16,1,0.4895768277,0.46873667,0.5104169854,37.93701726,34.42966193,41.44437258,2.373851239,2.362073098,2.38562938,0.09036173534,0.9683694203
2,16,2,0.489012467,0.4681756918,0.5098492423,38.61965147,35.11121404,42.12808889,2.332202303,2.320363495,2.344041112,0.2107518305,0.9165736106
2,16,3,0.5022495125,0.4814236556,0.5230753693,38.56040658,35.05829469,42.06251847,2.454509545,2.442848373,2.466170718,0.1930333975,0.9535360009
2,16,4,0.4887772831,0.4679257661,0.5096288002,38.03261308,34.522969,41.54225715,2.361534133,2.349720134,2.373348133,0.0944081742,0.9536869017
2,17,1,0.5651491015,0.531355625,0.598942578,52.21530493,46.52692571,57.90368415,2.289093435,2.277549414,2.300637457,0.08909303326,0.9549243203
2,17,2,0.5648819947,0.5310176865,0.5987463029,52.96382951,47.26318132,58.66447771,2.246589943,2.234836746,2.25834314,0.2087278327,0.9044969833
2,17,3,0.5781940008,0.5444057331,0.6119822685,52.87054013,47.18880675,58.55227351,2.371395643,2.359906291,2.382884995,0.1933024679,0.9400857041
2,17,4,0.5642261947,0.5303881296,0.5980642599,52.30077251,46.60379508,57.99774994,2.276208654,2.264642475,2.287774833,0.09320768346,0.9402854349
2,18,1,0.6963693219,0.6454799113,0.7472587325,75.90144294,67.34275086,84.46013503,2.201175168,2.189648799,2.212701537,0.08748736724,0.941479071
2,18,2,0.6960215003,0.6450826728,0.7469603279,76.65479943,68.08603269,85.22356616,2.157686391,2.146007849,2.169364933,0.2063361006,0.891351715
2,18,3,0.7096812647,0.6588098232,0.7605527062,76.57529532,68.02396563,85.126625,2.284883419,2.273443146,2.296323692,0.1935379188,0.9261580386
2,18,4,0.6953385964,0.6444287017,0.746248491,75.97447362,67.41207239,84.53687485,2.187986281,2.17642174,2.199550821,0.09165160005,0.9268321465
2,19,1,0.9007968288,0.8314497534,0.9701439041,111.9078836,100.2480939,123.5676734,2.112106264,2.100714453,2.123498075,0.0857007161,0.9261153709
2,19,2,0.9000213584,0.8307527202,0.9692899967,112.6061027,100.9570677,124.2551377,2.067722439,2.056240294,2.079204584,0.2031450967,0.878153882
2,19,3,0.9145525507,0.84523494,0.9838701614,112.6206232,100.9703268,124.2709197,2.197725283,2.186399327,2.209051239,0.1930947321,0.9115150748
2,19,4,0.8997014414,0.8303772906,0.9690255922,111.9763244,100.3198792,123.6327695,2.09858131,2.087157017,2.110005604,0.09002650468,0.9117858524
2,20,1,1.159133982,1.074137039,1.244130925,157.0465206,142.7646031,171.3284381,2.018999378,2.008104655,2.029894101,0.08335871906,0.9116118832
2,20,2,1.158632482,1.073706967,1.243557996,157.799424,143.5269607,172.0718874,1.974151764,1.9632373,1.985066228,0.2003856739,0.8652185751
2,20,3,1.173328976,1.088358208,1.258299744,157.8111169,143.5347504,172.0874834,2.105793808,2.095079235,2.116508381,0.1924211009,0.8962647317
2,20,4,1.158225176,1.073245926,1.243204426,157.1532115,142.8733506,171.4330725,2.005104538,1.994169784,2.016039292,0.08789153958,0.897350503
3,10,1,0.4331812932,0.4305967053,0.435765881,13.7855365,13.41381632,14.15725668,3.160120754,3.147271523,3.172969986,0.08440290219,1.490894429
3,10,2,0.4319144486,0.429329871,0.4344990261,14.40843025,14.0345807,14.78227979,3.115349846,3.102495821,3.128203871,0.2140057408,1.445271916
3,10,3,0.4349928259,0.432402278,0.4375833738,14.32574308,13.95195689,14.69952928,3.147484911,3.134621793,3.160348028,0.187481198,1.479856844
3,10,4,0.4320789566,0.4294957937,0.4346621194,13.84569619,13.47391927,14.21747311,3.146976884,3.134093053,3.159860716,0.08931810215,1.478325887
3,11,1,0.4247126968,0.4215602819,0.4278651116,15.14697953,14.65944871,15.63451034,3.010968939,2.99810164,3.023836238,0.08481550134,1.462327136
3,11,2,0.4235676337,0.4204181175,0.4267171499,15.77347419,15.28307974,16.26386864,2.967101157,2.954230876,2.979971439,0.2148944432,1.41601825
3,11,3,0.4265243955,0.4233722704,0.4296765206,15.67975593,15.19033328,16.16917858,2.998732635,2.985869042,3.011596228,0.1875380776,1.452049991
3,11,4,0.4236138093,0.4204626698,0.4267649488,15.20757414,14.71988024,15.69526804,2.997832812,2.984959065,3.010706558,0.08977341978,1.449555155
3,12,1,0.4192856648,0.4151166324,0.4234546972,17.02110615,16.34973758,17.69247472,2.861726011,2.848683498,2.874768524,0.08522474667,1.433885874
3,12,2,0.4182638036,0.4140887449,0.4224388624,17.65171588,16.9768327,18.32659906,2.818746597,2.805650557,2.831842636,0.2153757273,1.386340024
3,12,3,0.4211486286,0.416960539,0.4253367181,17.56295332,16.88676133,18.23914531,2.849465158,2.836429715,2.862500601,0.187325205,1.423521399
3,12,4,0.418204455,0.4140327796,0.4223761304,17.0826741,16.41034965,17.75499855,2.84869684,2.835614536,2.861779143,0.0902484257,1.420978901
3,13,1,0.4183006459,0.4124867556,0.4241145362,19.65586253,18.69598854,20.61573653,2.711713177,2.698633221,2.724793133,0.08575113065,1.404695754
3,13,2,0.417417276,0.411597556,0.423236996,20.29532072,19.33242316,21.25821829,2.66950616,2.656298889,2.68271343,0.2160948133,1.356775481
3,13,3,0.4202719792,0.4144343205,0.4261096379,20.21024894,19.24610243,21.17439544,2.699755905,2.686615725,2.712896086,0.1874976785,1.394987049
3,13,4,0.4172812321,0.4114315247,0.4231309395,19.72895662,18.76255059,20.69536266,2.698622698,2.685495359,2.711750038,0.09067546256,1.391561836
3,14,1,0.4242433656,0.4156346203,0.4328521108,23.48517871,22.04041089,24.92994654,2.560055716,2.547214889,2.572896542,0.08629500422,1.375869251
3,14,2,0.4236477835,0.4150195248,0.4322760421,24.15081339,22.700611,25.60101578,2.519036477,2.506141463,2.53193149,0.2157199402,1.327062789
3,14,3,0.4264438122,0.4177894966,0.4350981279,24.07355756,22.6210738,25.52604131,2.548339441,2.535479748,2.561199134,0.1871059513,1.366465835
3,14,4,0.423240033,0.41461793,0.431862136,23.55687951,22.10915411,25.00460491,2.547184609,2.534322116,2.560047101,0.09138285482,1.362636424
3,15,1,0.432896314,0.4198857747,0.4459068534,29.08865744,26.90872658,31.26858831,2.337745892,2.325634652,2.349857132,0.08585361224,1.137315118
3,15,2,0.4320745868,0.4190345307,0.4451146428,29.76317811,27.57611808,31.95023815,2.29421531,2.282127121,2.3063035,0.2168315389,1.087833545
3,15,3,0.435307272,0.4222657151,0.4483488289,29.72556087,27.53876094,31.9123608,2.325324687,2.313227291,2.337422084,0.188033926,1.127166829
3,15,4,0.4319057182,0.4188744628,0.4449369736,29.17833976,26.99384955,31.36282997,2.324026119,2.311904633,2.336147606,0.09086922817,1.123496123
3,16,1,0.4608496228,0.440055537,0.4816437085,37.80192753,34.29922605,41.30462901,2.122543344,2.112274045,2.132812643,0.08617259524,0.9032499273
3,16,2,0.4598179976,0.439028713,0.4806072823,38.49681091,34.9915979,42.00202392,2.076032823,2.065686088,2.086379558,0.2176025695,0.8523195989
3,16,3,0.4632995857,0.4425064497,0.4840927217,38.45711151,34.95339504,41.96082798,2.109493869,2.099203354,2.119784383,0.1894354055,0.8919873955
3,16,4,0.4599156872,0.4390937829,0.4807375915,37.91455636,34.40597663,41.4231361,2.108104237,2.097822371,2.118386103,0.09129667076,0.8886945017
3,17,1,0.541777391,0.508065931,0.5754888509,52.18110909,46.50315959,57.85905859,2.08057996,2.070416024,2.090743896,0.08599308393,0.8747432
3,17,2,0.5411039151,0.5073189257,0.5748889044,52.92685955,47.23651979,58.61719931,2.03456776,2.024225981,2.044909538,0.2185047018,0.8264625727
3,17,3,0.5444538913,0.5107087223,0.5781990603,52.87805529,47.19503034,58.56108024,2.06733206,2.057100042,2.077564078,0.1905296522,0.8634773528
3,17,4,0.5408252514,0.5070528796,0.5745976231,52.2933778,46.60515668,57.98159893,2.065996309,2.055792723,2.076199895,0.09105044272,0.8602147749
3,18,1,0.6785509025,0.627743889,0.7293579159,75.94299942,67.38925191,84.49674692,2.038583153,2.028325376,2.048840931,0.08583511611,0.8463023915
3,18,2,0.6779424814,0.6271241974,0.7287607654,76.69074678,68.1336617,85.24783187,1.993049469,1.982689323,2.003409616,0.2187921508,0.7994269425
3,18,3,0.6810672209,0.6302534874,0.7318809544,76.62024136,68.06594434,85.17453838,2.024949201,2.014675111,2.03522329,0.1914068121,0.8341890295
3,18,4,0.6775739997,0.6267273811,0.7284206184,76.04981035,67.48918409,84.61043662,2.024069014,2.013783549,2.03435448,0.09090658422,0.8319999267
3,19,1,0.8884557203,0.8191558589,0.9577555816,112.0147717,100.3539793,123.675564,1.995310143,1.98496096,2.005659327,0.08511246533,0.8161720133
3,19,2,0.8878823542,0.8186189826,0.9571457258,112.7618438,101.1064238,124.4172639,1.950128125,1.939815193,1.960441058,0.2182024667,0.7723968081
3,19,3,0.8909533998,0.8216837639,0.9602230357,112.6926488,101.0376046,124.347693,1.981474414,1.971216035,1.991732792,0.1917695844,0.8046967769
3,19,4,0.8873567496,0.8180905085,0.9566229906,112.1007669,100.4459832,123.7555507,1.980812518,1.970499188,1.991125848,0.09022824969,0.8022488054
3,20,1,1.152587716,1.067670498,1.237504933,157.1772052,142.8913062,171.4631042,1.953082022,1.942830673,1.96333337,0.08434990232,0.7867286105
3,20,2,1.152004749,1.067168356,1.236841143,157.9046947,143.6316039,172.1777854,1.908862674,1.898657991,1.919067357,0.2181133647,0.7460009139
3,20,3,1.155063364,1.07020762,1.239919107,157.8594399,143.5838362,172.1350437,1.938814564,1.928598921,1.949030207,0.1919638821,0.7748113798
3,20,4,1.151595556,1.066709304,1.236481808,157.2804235,142.9992107,171.5616362,1.938623032,1.928368166,1.948877898,0.08953955316,0.7730859405
