strategy,n_urgent,rule,rep,objective,el_app_wt,ur_scan_wt,el_scan_wt,ot
1,10,1,79,0.4563621915,14.30957964,3.3406751,0.08887416209,0.840462148
1,10,1,80,0.4496603102,11.92718286,3.407986567,0.08986418324,1.005168898
1,10,1,81,0.4590406684,13.11707776,3.428665421,0.09362695654,1.018269203
1,10,1,82,0.4500292396,14.57584269,3.269414441,0.0911760249,0.9385398884
1,10,1,83,0.4850429728,16.63515234,3.474217879,0.08966163385,0.8942439366
1,10,1,84,0.4627660928,15.26988974,3.346865028,0.09012305181,0.9668043329
1,10,1,85,0.4688944771,15.13640979,3.409171198,0.09647071448,1.130972148
1,10,1,86,0.4399763936,13.69923554,3.225899924,0.08817230624,0.9540123999
1,10,1,87,0.4926707554,17.11997138,3.516895475,0.0960183844,1.092202485
1,10,1,88,0.4652032819,15.07575724,3.379199685,0.08835535331,1.017134957
1,10,1,89,0.4635448741,15.86948868,3.321752688,0.09175463063,0.9073031087
1,10,1,90,0.4962297264,19.56784106,3.417790338,0.08920722345,1.009892394
1,10,1,91,0.4448163592,11.55606696,3.384272217,0.08565565614,0.998083977
1,10,1,92,0.4533602673,14.20074769,3.319488065,0.08963975993,1.055268172
1,10,1,93,0.4375747804,11.37756601,3.328660559,0.08528370382,0.9465707474
1,10,1,94,0.4770008835,16.22597692,3.423759187,0.08908390408,1.046772668
1,10,1,95,0.4787232803,16.21282688,3.439965226,0.09131160856,1.021045364
1,10,1,96,0.4458405724,14.11080292,3.256629281,0.08754701873,0.9474467134
1,10,1,97,0.4608767878,13.13172794,3.444405664,0.08801703706,0.9503650636
1,10,1,98,0.4478372033,11.84054044,3.396220164,0.08776625464,0.8863659035
1,10,1,99,0.4887466938,17.24776997,3.474732567,0.09093315989,1.034422553
1,10,2,0,0.4671528038,14.81147941,3.410903123,0.2318472794,0.8734257527
1,10,2,1,0.464135541,13.61664582,3.4477567,0.2283756096,1.115611992
1,10,2,2,0.4837273376,18.17693053,3.379781902,0.2367392022,0.9211228482
1,10,2,3,0.4590321924,15.16536174,3.318859638,0.2363789634,0.8734552779
1,10,2,4,0.4526558426,12.95364198,3.379957477,0.2350491059,1.000487118
1,10,2,5,0.4558358257,14.21966119,3.340754868,0.2335816403,0.9729736372
1,10,2,6,0.4723809525,17.31063547,3.324073101,0.2377636998,0.9751016863
