replication,el_app_wt,ur_scan_wt,objective
404,20.87334626,2.594896394,0.4125679303
405,16.17809296,2.597473642,0.3849063548
406,24.52659076,2.66287011,0.4418660683
407,16.34149331,2.709025653,0.3982736438
408,19.60019498,2.628465204,0.4087195166
409,18.53526789,2.609046501,0.4002230312
410,17.67887669,2.665555407,0.4014042319
411,16.94001293,2.750110171,0.4064012071
412,27.74783533,2.609571239,0.4551180464
413,19.03823075,2.668057404,0.4097736247
414,14.25448579,2.640689994,0.378258129
415,13.45371453,2.721411518,0.3824606917
416,18.15120512,2.677462505,0.4055387215
417,14.45828238,2.521319834,0.3662078528
418,13.12594866,2.693123857,0.3773666309
419,17.69814451,2.658319104,0.4007148876
420,23.12753843,2.777946037,0.44632459
421,21.14549361,2.714584323,0.4274865137
422,22.28544475,2.735318773,0.4365757649
423,23.84096326,2.741352577,0.4465052264
424,18.98745559,2.655370831,0.4080617724
425,19.52181408,2.6731787,0.4132211298
426,15.48674473,2.816993963,0.4051823336
427,19.32939984,2.633322626,0.4076473543
428,12.64633093,2.677499262,0.3727756973
429,22.72459404,2.760514427,0.4419892659
430,17.77006527,2.695120067,0.4052319833
431,19.75431518,2.637103877,0.4105967513
432,15.24611786,2.6686147,0.387263446
433,18.76560558,2.724617963,0.4144353624
434,17.3113966,2.782835351,0.4122479552
435,15.69031005,2.765226732,0.4006421174
436,12.07836454,2.676404148,0.3692732657
437,12.10012034,2.637476899,0.3650775146
438,13.06778032,2.549132508,0.361021352
439,16.34891974,2.724160327,0.3999994792
440,19.18138759,2.647921029,0.4083883738
441,17.78730732,2.801435207,0.4171474078
442,18.31336442,2.749340941,0.4144904482
443,16.9480673,2.778320674,0.40958365
444,13.26194764,2.682932164,0.3770437383
445,14.35711676,2.677558986,0.3829655823
446,18.44947266,2.726778621,0.412793692
447,14.55681988,2.75349692,0.3925918396
448,14.79959393,2.80521576,0.399783461
449,19.77325434,2.900499061,0.4399756159
450,21.1917114,2.793478405,0.4365276288
451,16.77197101,2.654626495,0.3947916602
452,16.02530037,2.845225887,0.4115249023
453,20.78532943,2.690080751,0.4226200602
454,15.13859338,2.731832353,0.393647603
455,15.56805119,2.580333357,0.3793706777
456,17.31383054,2.595753005,0.3914755157
457,15.52839026,2.533006537,0.3738760652
458,14.71074992,2.691519136,0.3866216694
459,14.01515114,2.530472582,0.3645871389
460,14.60197079,2.743326127,0.391730507
461,14.78935256,2.656689935,0.383219631
462,18.93036556,2.745660967,0.4177541882
463,15.05850834,2.706602737,0.3903676156
464,16.35328651,2.685995199,0.3957849021
465,15.04201451,2.661884432,0.3853007375
466,16.98523275,2.618982344,0.3921006141
467,14.8115442,2.707722843,0.3890220472
468,22.53499484,2.634552663,0.4268649477
469,13.83927582,2.719348,0.3845264196
470,13.41646994,2.637284019,0.3728914978
471,14.21523037,2.716062856,0.3863992283
472,14.01730281,2.73495117,0.3873197895
