n_urgent,strategy,rule,mean_diff_objective,ci_low,ci_high,t_stat,p_value,significant,better_than_baseline,p_bonferroni,significant_bonferroni
14,3,2,-0.09813164868729242,-0.10002116187334462,-0.09624213550124022,-103.60725930399549,1.8393439153582454e-77,True,True,1.3059341799043542e-75,True
14,3,3,-0.09659355144524646,-0.0984878152007469,-0.09469928768974603,-101.72757728435286,6.453523733761722e-77,True,True,4.582001850970823e-75,True
14,3,4,-0.09624973553756397,-0.09814403694555986,-0.09435543412956808,-101.36347246824428,8.251654512226131e-77,True,True,5.858674703680553e-75,True
15,1,1,0.015258269060635,0.00944039531862496,0.02107614280264504,5.232051305133648,1.7123760621011464e-06,True,False,0.0001215787004091814,True
15,1,2,0.011696470530618872,0.005889947226226254,0.017502993835011492,4.018552761226855,0.0001472285810002564,True,False,0.010453229251018204,True
15,1,3,0.013557606652210607,0.007747818173889005,0.01936739513053221,4.655364878011615,1.5185093197224265e-05,True,False,0.0010781416170029228,True
15,1,4,0.013706781843498338,0.00789585036690907,0.019517713320087608,4.705662371811669,1.2607192729696805e-05,True,False,0.0008951106838084731,True
15,2,1,-0.04100820574355964,-0.047323991256441385,-0.0346924202306779,-12.95312069465149,3.7882749362586794e-20,True,True,2.6896752047436625e-18,True
15,2,2,-0.04402472980103396,-0.0503368770803032,-0.03771258252176472,-13.913954947843912,1.0464410628307076e-21,True,True,7.429731546098025e-20,True
15,2,3,-0.04260975643598575,-0.04892235034835039,-0.03629716252362112,-13.465801764042864,5.500415014411286e-21,True,True,3.9052946602320134e-19,True
15,2,4,-0.04214260645838476,-0.048456511055690564,-0.035828701861078956,-13.31540542609681,9.654732791158177e-21,True,True,6.854860281722305e-19,True
15,3,1,-0.06784309080111595,-0.07415994306040233,-0.06152623854182956,-21.425744561529434,3.2967274038307996e-32,True,True,2.340676456719868e-30,True
15,3,2,-0.0712004393178051,-0.07751178052080762,-0.06488909811480259,-22.505674372842122,1.6843604259144707e-33,True,True,1.1958959023992742e-31,True
15,3,3,-0.06965695052589384,-0.07597669220993652,-0.06333720884185115,-21.988527542646455,6.90236051157075e-33,True,True,4.900675963215233e-31,True
15,3,4,-0.06932785834646245,-0.07563921587742667,-0.06301650081549823,-21.913715467542165,8.482293347908338e-33,True,True,6.02242827701492e-31,True
16,1,1,0.062069784599354784,0.04508566177807566,0.07905390742063391,7.29068162696264,3.9444396062163274e-10,True,False,2.8005521204135925e-08,True
16,1,2,0.05850870474687656,0.041533202761100854,0.07548420673265227,6.87588928895588,2.230938434488567e-09,True,False,1.5839662884868825e-07,True
16,1,3,0.06033510290621473,0.04335143949137752,0.07731876632105195,7.087118601727784,9.24605960736922e-10,True,False,6.564702321232147e-08,True
16,1,4,0.06051271922215058,0.04353571448757271,0.07748972395672846,7.110769753278422,8.3759068778091e-10,True,False,5.946893883244461e-08,True
16,2,1,0.0045979504173034634,-0.01298450500772438,0.022180405842331306,0.5216939205677199,0.6035541042226169,False,False,1.0,False
16,2,2,0.0015764054575368503,-0.016004981980810226,0.01915779289588393,0.178873416611245,0.8585612850546476,False,False,1.0,False
16,2,3,0.0029778669829385643,-0.01460658766239801,0.020562321628275138,0.3378371524298588,0.7365116031660169,False,False,1.0,False
