n_urgent,strategy,rule,awt_e_hours_mean,awt_e_hours_std,awt_e_hours_ci_low,awt_e_hours_ci_high,swt_e_min_mean,swt_e_min_std,swt_e_min_ci_low,swt_e_min_ci_high,swt_u_min_mean,swt_u_min_std,swt_u_min_ci_low,swt_u_min_ci_high,overtime_min_mean,overtime_min_std,overtime_min_ci_low,overtime_min_ci_high,objective_mean,objective_std,objective_ci_low,objective_ci_high
16,3,3,37.21855851051321,18.983045580932473,32.62368258386168,41.813434437164744,8.923058725960198,0.1934960413586466,8.876222705968008,8.969894745952388,138.554268386069,4.733260233590407,137.4085753301693,139.6999614419687,21.938494803840225,1.073824079002422,21.678574002985012,22.198415604695438,0.4781210172457752,0.11249480115356456,0.45089147436287946,0.505350560128671
16,3,4,37.31852343104843,18.98302946408861,32.723651405504214,41.91339545659265,4.732328725129888,0.18279333875535397,4.688083311072467,4.776574139187308,137.48478498002535,4.744624695712244,136.33634113826255,138.63322882178815,22.80421856432762,1.075211690995752,22.543961889815225,23.064475238840014,0.4767355217086685,0.11241302676380802,0.4495257724449424,0.5039452709723946
18,1,1,72.0716565899628,40.50011679425053,62.268539861875794,81.8747733180498,5.030594337259533,0.1585516146069842,4.992216670515629,5.068972004003437,134.28075926072503,3.8086012322252345,133.35888136491758,135.2026371565325,13.674415420331941,0.9887962700851194,13.435075733851887,13.913755106811996,0.6776660285976821,0.24091011227784856,0.6193533584482577,0.7359786987471065
18,1,2,71.83929894459433,40.50007713425641,62.03619181627104,81.64240607291762,11.760245710974484,0.2666070461296967,11.695713057722706,11.824778364226262,129.8070007371165,3.7789069440103265,128.8923103902983,130.72169108393473,11.190426817972698,0.8964144423234106,10.973448297651816,11.40740533829358,0.6679982093685682,0.24081080495411103,0.6097095767124552,0.7262868420246813
18,1,3,71.94844731412324,40.50011813122703,62.14533026241898,81.7515643658275,9.560095006593327,0.15954245988448146,9.521477504197488,9.598712508989166,132.17376574343282,3.782432336335318,131.25822206987854,133.0893094169871,12.490117267250566,0.9317265094462475,12.264591405753514,12.715643128747619,0.6730308002041806,0.24090029920580666,0.6147205053242196,0.7313410950841416
18,1,4,72.0466565899628,40.50011679425052,62.24353986187579,81.8497733180498,5.031091822523271,0.1582474583614095,4.992787777275179,5.069395867771362,133.11348510347807,3.799233917811229,132.1938745808018,134.03309562615433,12.993742657529776,0.9621191429885134,12.760860211462797,13.226625103596755,0.6753556002641558,0.24088067757554452,0.6170500548305441,0.7336611456977674
18,2,1,70.97436699920424,40.59816128295157,61.14751844900509,80.80121554940338,4.660011723821544,0.1770918324182674,4.617146368306481,4.702877079336607,110.43933155273183,3.749652599543654,109.53172226582925,111.34694083963441,19.402643632237243,1.0888984641863553,19.1390740528288,19.666213211645687,0.6269837508865657,0.24199691134231038,0.5684080193207256,0.6855594824524057
18,2,2,70.73843828985011,40.59817865097736,60.911585535693106,80.56529104400711,9.610662747533317,0.264171188921405,9.546719697335455,9.674605797731179,111.52119845882095,3.7187007296147434,110.62108112053191,112.42131579710998,15.420965075585771,1.0384532345003312,15.169605843063472,15.67232430810807,0.6275828705643846,0.24201162393363132,0.5690035777927627,0.6861621633360064
18,2,3,70.83704446470662,40.59815539299699,61.01019734018021,80.66389158923303,8.97971084773906,0.18030213055847807,8.93606843452907,9.023353260949051,112.81166552930307,3.729028011862014,111.90904845616467,113.71428260244147,17.15802547067886,1.07731363114548,16.89726001825978,17.418790923097944,0.6305595659156138,0.2420733045386127,0.5719653432569113,0.6891537885743163
18,2,4,70.94936699920424,40.59816128295157,61.1225184490051,80.77621554940339,4.762775030632898,0.17856331263042052,4.71955350102688,4.805996560238917,109.46610392326093,3.7464727468592773,108.55926432468299,110.37294352183888,18.347803855957554,1.0832041125331682,18.085612603289018,18.60999510862609,0.6250326679748471,0.24197673485739024,0.5664618201587958,0.6836035157908985
18,3,1,71.3618691051136,40.55587705253963,61.54525551913916,81.17848269108804,4.578370339090302,0.15137535298021781,4.541729697717359,4.6150109804632455,109.4842705287564,3.521291580628343,108.63193638429215,110.33660467322065,21.517369571568796,1.05716205604968,21.261481839476364,21.77325730366123,0.6275216795149077,0.2407830370272593,0.5692397681289976,0.6858035909008178
18,3,2,71.12767734973174,40.55588200764794,61.31106256436557,80.94429213509791,9.575129901895721,0.23989551275564588,9.517062817150382,9.63319698664106,109.42684252732164,3.4477182342275543,108.59231692663288,110.2613681280104,17.60172362008243,1.0359724195035713,17.35096487271719,17.852482367447674,0.6260213328201628,0.24089024450693886,0.5677134716958171,0.6843291939445085
18,3,3,71.23686228989243,40.55587889570692,61.420248257776464,81.0534763220084,8.768823667147117,0.15766191473571245,8.73066135365109,8.806985980643145,109.75147862866007,3.4617687549583116,108.91355207741323,110.5894051799069,19.619157343268615,1.0557551211398737,19.363610161975572,19.874704524561658,0.6272724211437035,0.24088071694292718,0.5689668661811552,0.6855779761062518
18,3,4,71.33686910511358,40.55587705253963,61.52025551913914,81.15348269108802,4.6421895479261295,0.15255340447077195,4.605263757344055,4.679115338508204,108.41116093743551,3.5157842621762145,107.5601598480318,109.26216202683922,20.498628745541954,1.047947296258364,20.24497146049525,20.752286030588657,0.6253856300071705,0.24076645226090168,0.5671077329899433,0.6836635270243977
20,1,1,138.8482802933106,62.51008910453846,123.71761528095925,153.97894530566197,5.022655562964178,0.14626531594052664,4.9872518140634075,5.058059311864948,131.18770118200388,3.840220563084766,130.25816977761878,132.11723258638898,10.80057833274825,0.8798836728295637,10.587601111084766,11.013555554411735,1.0694180462628347,0.3719866400273595,0.9793780971929897,1.1594579953326796
