strategy,n_urgent,rule,mean_electiveAppWT,mean_electiveScanWT,mean_urgentScanWT,mean_OT,mean_objective,ci_lo_objective,ci_hi_objective
2,12,2,17.484301092992585,0.2542557099668527,3.436991000333486,1.6384876553858727,0.48596110971756534,0.48471507638307815,0.48720714305205254
2,12,3,17.37364710507884,0.20222731979406808,3.4936093302068927,1.6685563960488132,0.49159338056909224,0.49034481193886614,0.49284194919931834
2,12,4,16.922711821434525,0.10988358564346092,3.4632072871313992,1.6658065383057812,0.4855312371898054,0.4842861054597575,0.4867763689198533
2,12,5,18.128779236880348,0.42107781110857484,3.488679188354933,1.6292974504516333,0.4955404211478517,0.49428916234748704,0.4967916799482163
2,12,6,18.791456402987638,0.5994702217737918,3.563780841583018,1.632189780928238,0.5078295562254204,0.5065746012448792,0.5090845112059615
2,12,7,19.465442639013634,0.7662456030740309,3.641328308643122,1.6354329185992724,0.520457764287809,0.5191983034729636,0.5217172251026544
2,13,1,19.18021753689854,0.10543196505657348,3.357764174637372,1.6496458008473944,0.4872528698221993,0.4856381268439871,0.48886761280041147
2,13,2,19.806837114184166,0.25506710745530026,3.318719723871668,1.6084910108526391,0.4866444759511228,0.48503101976544916,0.48825793213679647
2,13,3,19.69987120655601,0.20395338584806655,3.3903430460833763,1.6395368876062613,0.4939659210324149,0.49234925925017636,0.4955825828146534
2,13,4,19.243410751127072,0.11066107860031328,3.344726396066673,1.6369155136502727,0.4861803778434819,0.4845670289335583,0.4877937267534055
2,13,5,20.45384182127803,0.42369624817915885,3.369516215109339,1.5989320345384141,0.4961397490276926,0.4945197603443674,0.4977597377110178
2,13,6,21.12406428869082,0.6048362606840174,3.4434123536601318,1.6017910563693818,0.5083398505377774,0.5067142056264714,0.5099654954490834
2,13,7,21.802893540790894,0.7742225078965824,3.519780477132159,1.6050981183592494,0.5208658479003444,0.5192354390023123,0.5224962567983765
2,14,1,22.412253973871604,0.10609722000301239,3.238939043852931,1.6206084317476805,0.49328838963765664,0.4910558960033165,0.4955208832719968
2,14,2,23.04941499198075,0.25523452185611745,3.2002650985820873,1.5781240710204099,0.49278390971535546,0.4905544162564698,0.49501340317424114
2,14,3,22.93362682728032,0.2055262000517206,3.2881796970066914,1.6104980742618715,0.5018629831631263,0.49962939934929335,0.5040965669769593
2,14,4,22.475082047660877,0.11125075550804986,3.2261449104676365,1.6076229339354497,0.49224079589121084,0.49001040450512484,0.49447118727729683
2,14,5,23.707729917477415,0.4250958478738098,3.249532395539255,1.5679368062608527,0.5021765950449019,0.4999380768532851,0.5044151132365187
2,14,6,24.385884177945364,0.6089758178185795,3.3216601174391416,1.5708567273239167,0.5142274188698969,0.5119817261753453,0.5164731115644484
2,14,7,25.07136857132771,0.7808648523589908,3.396473310270385,1.5742301397407055,0.5266202600974695,0.5243674744109557,0.5288730457839834
2,15,1,27.189690578758448,0.10604601333779014,3.1587215873077423,1.4758346618574185,0.5128124615585494,0.5094269376184742,0.5161979854986246
2,15,2,27.827255326102165,0.2528963950311936,3.118943583803798,1.4319725119091082,0.5121877116494428,0.5088049690763667,0.5155704542225188
2,15,3,27.766849790168838,0.2066798612707733,3.2133708076827845,1.4644763243305097,0.5223200686522668,0.5189286553843131,0.5257114819202204
